uniprot_id,species
G3UBJ3,Loxodonta africana
G3ULX5,Loxodonta africana
G3VDD3,Sarcophilus harrisii
G3VJ75,Sarcophilus harrisii
G3VJV3,Sarcophilus harrisii
G3WFD6,Sarcophilus harrisii
G3WIS7,Sarcophilus harrisii
G3WW85,Sarcophilus harrisii
G3WXQ7,Sarcophilus harrisii
G3X211,Sarcophilus harrisii
G3X2I0,Sarcophilus harrisii
G5ALT3,Heterocephalus glaber
G5ATH3,Heterocephalus glaber
G5ATI1,Heterocephalus glaber
G5AUA8,Heterocephalus glaber
G5AYE3,Heterocephalus glaber
G5B9P5,Heterocephalus glaber
G5BJD9,Heterocephalus glaber
G5BLZ6,Heterocephalus glaber
G5BQ89,Heterocephalus glaber
G5BT39,Heterocephalus glaber
G5BW09,Heterocephalus glaber
G5C181,Heterocephalus glaber
G5C4F5,Heterocephalus glaber
G5C550,Heterocephalus glaber
G5C562,Heterocephalus glaber
G5CAM8,Heterocephalus glaber
G7N7K6,Macaca mulatta
G7PQN5,Macaca fascicularis
G7PTW0,Macaca fascicularis
G9K792,Mustela putorius furo
G9K9H8,Mustela putorius furo
G9KDY1,Mustela putorius furo
G9KQB6,Mustela putorius furo
G9KQX1,Mustela putorius furo
G9KVC5,Mustela putorius furo
H0UTR7,Cavia porcellus
H0UW33,Cavia porcellus
H0UWK7,Cavia porcellus
H0UXM9,Cavia porcellus
H0V185,Cavia porcellus
H0V4S0,Cavia porcellus
H0V712,Cavia porcellus
H0VBW4,Cavia porcellus
H0VKR8,Cavia porcellus
H0VLY4,Cavia porcellus
H0VT47,Cavia porcellus
H0VTA3,Cavia porcellus
H0VU80,Cavia porcellus
H0VX34,Cavia porcellus
H0W6U0,Cavia porcellus
H0W7Q9,Cavia porcellus
H0W7Y5,Cavia porcellus
H0WAJ9,Cavia porcellus
H0WS89,Otolemur garnettii
H0WSU8,Otolemur garnettii
H0WUI3,Otolemur garnettii
H0X0Z0,Otolemur garnettii
H0X4T1,Otolemur garnettii
H0XEG9,Otolemur garnettii
H0XKN9,Otolemur garnettii
H0XTI2,Otolemur garnettii
H0XW81,Otolemur garnettii
H0XY21,Otolemur garnettii
H0XYM4,Otolemur garnettii
H0YHI8,Homo sapiens
H0YJL9,Homo sapiens
H2L696,Oryzias latipes
H2LBS1,Oryzias latipes
H2LR55,Oryzias latipes
H2M022,Oryzias latipes
H2MB37,Oryzias latipes
H2MUK4,Oryzias latipes
H2N2T2,Oryzias latipes
H2RQT9,Takifugu rubripes
H2S2B3,Takifugu rubripes
H2S2U4,Takifugu rubripes
H2SBD7,Takifugu rubripes
H2SGC1,Takifugu rubripes
H2SZZ4,Takifugu rubripes
H2T351,Takifugu rubripes
H2TSE5,Takifugu rubripes
H2ZYL9,Latimeria chalumnae
H3A197,Latimeria chalumnae
H3A236,Latimeria chalumnae
H3A2H5,Latimeria chalumnae
H3A389,Latimeria chalumnae
H3A391,Latimeria chalumnae
